match,opponent,repetition,round,jev_action,opponent_action,jev_points,opponent_points,jev_total,opponent_total,initial_move,jev_action_source,opponent_action_source
5,tit_for_two_tats,1,7,D,D,1,1,15,5,free,model,scripted
5,tit_for_two_tats,1,8,D,D,1,1,16,6,free,model,scripted
5,tit_for_two_tats,1,9,D,D,1,1,17,7,free,model,scripted
5,tit_for_two_tats,1,10,D,D,1,1,18,8,free,model,scripted
5,tit_for_two_tats,1,11,D,D,1,1,19,9,free,model,scripted
5,tit_for_two_tats,1,12,D,D,1,1,20,10,free,model,scripted
5,tit_for_two_tats,1,13,D,D,1,1,21,11,free,model,scripted
5,tit_for_two_tats,1,14,D,D,1,1,22,12,free,model,scripted
5,tit_for_two_tats,1,15,D,D,1,1,23,13,free,model,scripted
5,tit_for_two_tats,1,16,D,D,1,1,24,14,free,model,scripted
5,tit_for_two_tats,1,17,D,D,1,1,25,15,free,model,scripted
5,tit_for_two_tats,1,18,D,D,1,1,26,16,free,model,scripted
5,tit_for_two_tats,1,19,D,D,1,1,27,17,free,model,scripted
5,tit_for_two_tats,1,20,D,D,1,1,28,18,free,model,scripted
6,grim,1,1,D,C,5,0,5,0,free,model,scripted
6,grim,1,2,D,D,1,1,6,1,free,model,scripted
6,grim,1,3,D,D,1,1,7,2,free,model,scripted
6,grim,1,4,D,D,1,1,8,3,free,model,scripted
6,grim,1,5,D,D,1,1,9,4,free,model,scripted
6,grim,1,6,D,D,1,1,10,5,free,model,scripted
6,grim,1,7,D,D,1,1,11,6,free,model,scripted
6,grim,1,8,D,D,1,1,12,7,free,model,scripted
6,grim,1,9,D,D,1,1,13,8,free,model,scripted
6,grim,1,10,D,D,1,1,14,9,free,model,scripted
6,grim,1,11,D,D,1,1,15,10,free,model,scripted
6,grim,1,12,D,D,1,1,16,11,free,model,scripted
6,grim,1,13,D,D,1,1,17,12,free,model,scripted
6,grim,1,14,D,D,1,1,18,13,free,model,scripted
6,grim,1,15,D,D,1,1,19,14,free,model,scripted
6,grim,1,16,D,D,1,1,20,15,free,model,scripted
6,grim,1,17,D,D,1,1,21,16,free,model,scripted
6,grim,1,18,D,D,1,1,22,17,free,model,scripted
6,grim,1,19,D,D,1,1,23,18,free,model,scripted
6,grim,1,20,D,D,1,1,24,19,free,model,scripted
7,pavlov,1,1,D,C,5,0,5,0,free,model,scripted
7,pavlov,1,2,D,D,1,1,6,1,free,model,scripted
7,pavlov,1,3,D,C,5,0,11,1,free,model,scripted
7,pavlov,1,4,D,D,1,1,12,2,free,model,scripted
7,pavlov,1,5,D,C,5,0,17,2,free,model,scripted
7,pavlov,1,6,D,D,1,1,18,3,free,model,scripted
7,pavlov,1,7,D,C,5,0,23,3,free,model,scripted
7,pavlov,1,8,D,D,1,1,24,4,free,model,scripted
7,pavlov,1,9,D,C,5,0,29,4,free,model,scripted
7,pavlov,1,10,D,D,1,1,30,5,free,model,scripted
7,pavlov,1,11,D,C,5,0,35,5,free,model,scripted
7,pavlov,1,12,D,D,1,1,36,6,free,model,scripted
7,pavlov,1,13,D,C,5,0,41,6,free,model,scripted
7,pavlov,1,14,D,D,1,1,42,7,free,model,scripted
7,pavlov,1,15,D,C,5,0,47,7,free,model,scripted
7,pavlov,1,16,D,D,1,1,48,8,free,model,scripted
7,pavlov,1,17,D,C,5,0,53,8,free,model,scripted
7,pavlov,1,18,D,D,1,1,54,9,free,model,scripted
7,pavlov,1,19,D,C,5,0,59,9,free,model,scripted
7,pavlov,1,20,D,D,1,1,60,10,free,model,scripted
8,another_jev,1,1,C,D,0,5,0,5,free,model,model
8,another_jev,1,2,D,D,1,1,1,6,free,model,model
8,another_jev,1,3,D,D,1,1,2,7,free,model,model
8,another_jev,1,4,D,D,1,1,3,8,free,model,model
8,another_jev,1,5,D,D,1,1,4,9,free,model,model
8,another_jev,1,6,D,D,1,1,5,10,free,model,model
8,another_jev,1,7,D,D,1,1,6,11,free,model,model
8,another_jev,1,8,D,D,1,1,7,12,free,model,model
8,another_jev,1,9,D,D,1,1,8,13,free,model,model
8,another_jev,1,10,D,D,1,1,9,14,free,model,model
8,another_jev,1,11,D,D,1,1,10,15,free,model,model
8,another_jev,1,12,D,D,1,1,11,16,free,model,model
8,another_jev,1,13,D,D,1,1,12,17,free,model,model
8,another_jev,1,14,D,D,1,1,13,18,free,model,model
8,another_jev,1,15,D,D,1,1,14,19,free,model,model
8,another_jev,1,16,D,D,1,1,15,20,free,model,model
8,another_jev,1,17,D,D,1,1,16,21,free,model,model
8,another_jev,1,18,D,D,1,1,17,22,free,model,model
8,another_jev,1,19,D,D,1,1,18,23,free,model,model
8,another_jev,1,20,D,D,1,1,19,24,free,model,model
9,cooperator,2,1,D,C,5,0,5,0,free,model,scripted
9,cooperator,2,2,D,C,5,0,10,0,free,model,scripted
9,cooperator,2,3,D,C,5,0,15,0,free,model,scripted
9,cooperator,2,4,D,C,5,0,20,0,free,model,scripted
9,cooperator,2,5,D,C,5,0,25,0,free,model,scripted
9,cooperator,2,6,D,C,5,0,30,0,free,model,scripted
9,cooperator,2,7,D,C,5,0,35,0,free,model,scripted
9,cooperator,2,8,D,C,5,0,40,0,free,model,scripted
9,cooperator,2,9,D,C,5,0,45,0,free,model,scripted
9,cooperator,2,10,D,C,5,0,50,0,free,model,scripted
9,cooperator,2,11,D,C,5,0,55,0,free,model,scripted
9,cooperator,2,12,D,C,5,0,60,0,free,model,scripted
9,cooperator,2,13,D,C,5,0,65,0,free,model,scripted
9,cooperator,2,14,D,C,5,0,70,0,free,model,scripted
9,cooperator,2,15,D,C,5,0,75,0,free,model,scripted
9,cooperator,2,16,D,C,5,0,80,0,free,model,scripted
9,cooperator,2,17,D,C,5,0,85,0,free,model,scripted
9,cooperator,2,18,D,C,5,0,90,0,free,model,scripted
9,cooperator,2,19,D,C,5,0,95,0,free,model,scripted
9,cooperator,2,20,D,C,5,0,100,0,free,model,scripted
10,defector,2,1,D,D,1,1,1,1,free,model,scripted
10,defector,2,2,D,D,1,1,2,2,free,model,scripted
10,defector,2,3,D,D,1,1,3,3,free,model,scripted
10,defector,2,4,D,D,1,1,4,4,free,model,scripted
10,defector,2,5,D,D,1,1,5,5,free,model,scripted
10,defector,2,6,D,D,1,1,6,6,free,model,scripted
10,defector,2,7,D,D,1,1,7,7,free,model,scripted
10,defector,2,8,D,D,1,1,8,8,free,model,scripted
10,defector,2,9,D,D,1,1,9,9,free,model,scripted
10,defector,2,10,D,D,1,1,10,10,free,model,scripted
10,defector,2,11,D,D,1,1,11,11,free,model,scripted
10,defector,2,12,D,D,1,1,12,12,free,model,scripted
10,defector,2,13,D,D,1,1,13,13,free,model,scripted
10,defector,2,14,D,D,1,1,14,14,free,model,scripted
10,defector,2,15,D,D,1,1,15,15,free,model,scripted
10,defector,2,16,D,D,1,1,16,16,free,model,scripted
10,defector,2,17,D,D,1,1,17,17,free,model,scripted
10,defector,2,18,D,D,1,1,18,18,free,model,scripted
10,defector,2,19,D,D,1,1,19,19,free,model,scripted
10,defector,2,20,D,D,1,1,20,20,free,model,scripted
11,random,2,1,D,D,1,1,1,1,free,model,scripted
11,random,2,2,D,C,5,0,6,1,free,model,scripted
11,random,2,3,D,C,5,0,11,1,free,model,scripted
11,random,2,4,D,C,5,0,16,1,free,model,scripted
11,random,2,5,D,D,1,1,17,2,free,model,scripted
11,random,2,6,D,D,1,1,18,3,free,model,scripted
11,random,2,7,D,D,1,1,19,4,free,model,scripted
11,random,2,8,D,C,5,0,24,4,free,model,scripted
11,random,2,9,D,D,1,1,25,5,free,model,scripted
11,random,2,10,D,D,1,1,26,6,free,model,scripted
11,random,2,11,D,D,1,1,27,7,free,model,scripted
11,random,2,12,D,D,1,1,28,8,free,model,scripted
11,random,2,13,D,C,5,0,33,8,free,model,scripted
11,random,2,14,D,D,1,1,34,9,free,model,scripted
11,random,2,15,D,C,5,0,39,9,free,model,scripted
11,random,2,16,D,D,1,1,40,10,free,model,scripted
11,random,2,17,D,C,5,0,45,10,free,model,scripted
11,random,2,18,D,C,5,0,50,10,free,model,scripted
11,random,2,19,D,D,1,1,51,11,free,model,scripted
11,random,2,20,D,C,5,0,56,11,free,model,scripted
12,tit_for_tat,2,1,D,C,5,0,5,0,free,model,scripted
12,tit_for_tat,2,2,D,D,1,1,6,1,free,model,scripted
12,tit_for_tat,2,3,D,D,1,1,7,2,free,model,scripted
12,tit_for_tat,2,4,D,D,1,1,8,3,free,model,scripted
12,tit_for_tat,2,5,D,D,1,1,9,4,free,model,scripted
12,tit_for_tat,2,6,D,D,1,1,10,5,free,model,scripted
12,tit_for_tat,2,7,D,D,1,1,11,6,free,model,scripted
12,tit_for_tat,2,8,D,D,1,1,12,7,free,model,scripted
12,tit_for_tat,2,9,D,D,1,1,13,8,free,model,scripted
12,tit_for_tat,2,10,D,D,1,1,14,9,free,model,scripted
12,tit_for_tat,2,11,D,D,1,1,15,10,free,model,scripted
12,tit_for_tat,2,12,D,D,1,1,16,11,free,model,scripted
12,tit_for_tat,2,13,D,D,1,1,17,12,free,model,scripted
12,tit_for_tat,2,14,D,D,1,1,18,13,free,model,scripted
12,tit_for_tat,2,15,D,D,1,1,19,14,free,model,scripted
12,tit_for_tat,2,16,D,D,1,1,20,15,free,model,scripted
12,tit_for_tat,2,17,D,D,1,1,21,16,free,model,scripted
12,tit_for_tat,2,18,D,D,1,1,22,17,free,model,scripted
12,tit_for_tat,2,19,D,D,1,1,23,18,free,model,scripted
12,tit_for_tat,2,20,D,D,1,1,24,19,free,model,scripted
13,tit_for_two_tats,2,1,C,C,3,3,3,3,free,model,scripted
13,tit_for_two_tats,2,2,C,C,3,3,6,6,free,model,scripted
13,tit_for_two_tats,2,3,C,C,3,3,9,9,free,model,scripted
13,tit_for_two_tats,2,4,C,C,3,3,12,12,free,model,scripted
13,tit_for_two_tats,2,5,C,C,3,3,15,15,free,model,scripted
13,tit_for_two_tats,2,6,C,C,3,3,18,18,free,model,scripted
13,tit_for_two_tats,2,7,C,C,3,3,21,21,free,model,scripted
13,tit_for_two_tats,2,8,C,C,3,3,24,24,free,model,scripted
13,tit_for_two_tats,2,9,C,C,3,3,27,27,free,model,scripted
13,tit_for_two_tats,2,10,C,C,3,3,30,30,free,model,scripted
13,tit_for_two_tats,2,11,C,C,3,3,33,33,free,model,scripted
13,tit_for_two_tats,2,12,C,C,3,3,36,36,free,model,scripted
13,tit_for_two_tats,2,13,C,C,3,3,39,39,free,model,scripted
13,tit_for_two_tats,2,14,C,C,3,3,42,42,free,model,scripted
13,tit_for_two_tats,2,15,C,C,3,3,45,45,free,model,scripted
13,tit_for_two_tats,2,16,C,C,3,3,48,48,free,model,scripted
13,tit_for_two_tats,2,17,C,C,3,3,51,51,free,model,scripted
13,tit_for_two_tats,2,18,C,C,3,3,54,54,free,model,scripted
13,tit_for_two_tats,2,19,C,C,3,3,57,57,free,model,scripted
13,tit_for_two_tats,2,20,C,C,3,3,60,60,free,model,scripted
14,grim,2,1,D,C,5,0,5,0,free,model,scripted
14,grim,2,2,D,D,1,1,6,1,free,model,scripted
14,grim,2,3,D,D,1,1,7,2,free,model,scripted
14,grim,2,4,D,D,1,1,8,3,free,model,scripted
14,grim,2,5,D,D,1,1,9,4,free,model,scripted
14,grim,2,6,D,D,1,1,10,5,free,model,scripted
14,grim,2,7,D,D,1,1,11,6,free,model,scripted
14,grim,2,8,D,D,1,1,12,7,free,model,scripted
14,grim,2,9,D,D,1,1,13,8,free,model,scripted
14,grim,2,10,D,D,1,1,14,9,free,model,scripted
14,grim,2,11,D,D,1,1,15,10,free,model,scripted
14,grim,2,12,D,D,1,1,16,11,free,model,scripted
14,grim,2,13,D,D,1,1,17,12,free,model,scripted
14,grim,2,14,D,D,1,1,18,13,free,model,scripted
14,grim,2,15,D,D,1,1,19,14,free,model,scripted
14,grim,2,16,D,D,1,1,20,15,free,model,scripted
14,grim,2,17,D,D,1,1,21,16,free,model,scripted
14,grim,2,18,D,D,1,1,22,17,free,model,scripted
14,grim,2,19,D,D,1,1,23,18,free,model,scripted
14,grim,2,20,D,D,1,1,24,19,free,model,scripted
15,pavlov,2,1,C,C,3,3,3,3,free,model,scripted
15,pavlov,2,2,C,C,3,3,6,6,free,model,scripted
15,pavlov,2,3,C,C,3,3,9,9,free,model,scripted
15,pavlov,2,4,C,C,3,3,12,12,free,model,scripted
15,pavlov,2,5,C,C,3,3,15,15,free,model,scripted
15,pavlov,2,6,C,C,3,3,18,18,free,model,scripted
15,pavlov,2,7,C,C,3,3,21,21,free,model,scripted
15,pavlov,2,8,C,C,3,3,24,24,free,model,scripted
15,pavlov,2,9,C,C,3,3,27,27,free,model,scripted
15,pavlov,2,10,C,C,3,3,30,30,free,model,scripted
15,pavlov,2,11,C,C,3,3,33,33,free,model,scripted
15,pavlov,2,12,C,C,3,3,36,36,free,model,scripted
15,pavlov,2,13,C,C,3,3,39,39,free,model,scripted
15,pavlov,2,14,C,C,3,3,42,42,free,model,scripted
15,pavlov,2,15,C,C,3,3,45,45,free,model,scripted
15,pavlov,2,16,C,C,3,3,48,48,free,model,scripted
15,pavlov,2,17,C,C,3,3,51,51,free,model,scripted
15,pavlov,2,18,C,C,3,3,54,54,free,model,scripted
15,pavlov,2,19,C,C,3,3,57,57,free,model,scripted
15,pavlov,2,20,C,C,3,3,60,60,free,model,scripted
16,another_jev,2,1,D,D,1,1,1,1,free,model,model
16,another_jev,2,2,D,D,1,1,2,2,free,model,model
16,another_jev,2,3,D,D,1,1,3,3,free,model,model
16,another_jev,2,4,D,D,1,1,4,4,free,model,model
16,another_jev,2,5,D,D,1,1,5,5,free,model,model
16,another_jev,2,6,D,D,1,1,6,6,free,model,model
16,another_jev,2,7,D,D,1,1,7,7,free,model,model
16,another_jev,2,8,D,D,1,1,8,8,free,model,model
16,another_jev,2,9,D,D,1,1,9,9,free,model,model
16,another_jev,2,10,D,D,1,1,10,10,free,model,model
16,another_jev,2,11,D,D,1,1,11,11,free,model,model
16,another_jev,2,12,D,D,1,1,12,12,free,model,model
16,another_jev,2,13,D,D,1,1,13,13,free,model,model
16,another_jev,2,14,D,D,1,1,14,14,free,model,model
16,another_jev,2,15,D,D,1,1,15,15,free,model,model
16,another_jev,2,16,D,D,1,1,16,16,free,model,model
16,another_jev,2,17,D,D,1,1,17,17,free,model,model
16,another_jev,2,18,D,D,1,1,18,18,free,model,model
16,another_jev,2,19,D,D,1,1,19,19,free,model,model
16,another_jev,2,20,D,D,1,1,20,20,free,model,model
17,cooperator,3,1,D,C,5,0,5,0,free,model,scripted
17,cooperator,3,2,D,C,5,0,10,0,free,model,scripted
17,cooperator,3,3,D,C,5,0,15,0,free,model,scripted
17,cooperator,3,4,D,C,5,0,20,0,free,model,scripted
17,cooperator,3,5,D,C,5,0,25,0,free,model,scripted
17,cooperator,3,6,D,C,5,0,30,0,free,model,scripted
17,cooperator,3,7,D,C,5,0,35,0,free,model,scripted
17,cooperator,3,8,D,C,5,0,40,0,free,model,scripted
17,cooperator,3,9,D,C,5,0,45,0,free,model,scripted
17,cooperator,3,10,D,C,5,0,50,0,free,model,scripted
17,cooperator,3,11,D,C,5,0,55,0,free,model,scripted
17,cooperator,3,12,D,C,5,0,60,0,free,model,scripted
17,cooperator,3,13,D,C,5,0,65,0,free,model,scripted
17,cooperator,3,14,D,C,5,0,70,0,free,model,scripted
17,cooperator,3,15,D,C,5,0,75,0,free,model,scripted
17,cooperator,3,16,D,C,5,0,80,0,free,model,scripted
17,cooperator,3,17,D,C,5,0,85,0,free,model,scripted
17,cooperator,3,18,D,C,5,0,90,0,free,model,scripted
17,cooperator,3,19,D,C,5,0,95,0,free,model,scripted
17,cooperator,3,20,D,C,5,0,100,0,free,model,scripted
18,defector,3,1,C,D,0,5,0,5,free,model,scripted
18,defector,3,2,D,D,1,1,1,6,free,model,scripted
18,defector,3,3,D,D,1,1,2,7,free,model,scripted
18,defector,3,4,D,D,1,1,3,8,free,model,scripted
18,defector,3,5,D,D,1,1,4,9,free,model,scripted
18,defector,3,6,D,D,1,1,5,10,free,model,scripted
18,defector,3,7,D,D,1,1,6,11,free,model,scripted
18,defector,3,8,D,D,1,1,7,12,free,model,scripted
18,defector,3,9,D,D,1,1,8,13,free,model,scripted
18,defector,3,10,D,D,1,1,9,14,free,model,scripted
18,defector,3,11,D,D,1,1,10,15,free,model,scripted
18,defector,3,12,D,D,1,1,11,16,free,model,scripted
18,defector,3,13,D,D,1,1,12,17,free,model,scripted
18,defector,3,14,D,D,1,1,13,18,free,model,scripted
18,defector,3,15,D,D,1,1,14,19,free,model,scripted
18,defector,3,16,D,D,1,1,15,20,free,model,scripted
18,defector,3,17,D,D,1,1,16,21,free,model,scripted
18,defector,3,18,D,D,1,1,17,22,free,model,scripted
18,defector,3,19,D,D,1,1,18,23,free,model,scripted
18,defector,3,20,D,D,1,1,19,24,free,model,scripted
19,random,3,1,D,D,1,1,1,1,free,model,scripted
19,random,3,2,D,D,1,1,2,2,free,model,scripted
19,random,3,3,D,C,5,0,7,2,free,model,scripted
19,random,3,4,D,D,1,1,8,3,free,model,scripted
19,random,3,5,D,C,5,0,13,3,free,model,scripted
19,random,3,6,D,D,1,1,14,4,free,model,scripted
19,random,3,7,D,D,1,1,15,5,free,model,scripted
19,random,3,8,D,D,1,1,16,6,free,model,scripted
19,random,3,9,D,C,5,0,21,6,free,model,scripted
19,random,3,10,D,C,5,0,26,6,free,model,scripted
19,random,3,11,D,D,1,1,27,7,free,model,scripted
19,random,3,12,D,D,1,1,28,8,free,model,scripted
19,random,3,13,D,C,5,0,33,8,free,model,scripted
19,random,3,14,D,D,1,1,34,9,free,model,scripted
19,random,3,15,D,D,1,1,35,10,free,model,scripted
19,random,3,16,D,C,5,0,40,10,free,model,scripted
19,random,3,17,D,D,1,1,41,11,free,model,scripted
19,random,3,18,D,D,1,1,42,12,free,model,scripted
19,random,3,19,D,D,1,1,43,13,free,model,scripted
19,random,3,20,D,C,5,0,48,13,free,model,scripted
20,tit_for_tat,3,1,D,C,5,0,5,0,free,model,scripted
20,tit_for_tat,3,2,D,D,1,1,6,1,free,model,scripted
20,tit_for_tat,3,3,D,D,1,1,7,2,free,model,scripted
20,tit_for_tat,3,4,D,D,1,1,8,3,free,model,scripted
20,tit_for_tat,3,5,D,D,1,1,9,4,free,model,scripted
20,tit_for_tat,3,6,D,D,1,1,10,5,free,model,scripted
20,tit_for_tat,3,7,D,D,1,1,11,6,free,model,scripted
20,tit_for_tat,3,8,D,D,1,1,12,7,free,model,scripted
20,tit_for_tat,3,9,D,D,1,1,13,8,free,model,scripted
20,tit_for_tat,3,10,D,D,1,1,14,9,free,model,scripted
20,tit_for_tat,3,11,D,D,1,1,15,10,free,model,scripted
20,tit_for_tat,3,12,D,D,1,1,16,11,free,model,scripted
20,tit_for_tat,3,13,D,D,1,1,17,12,free,model,scripted
20,tit_for_tat,3,14,D,D,1,1,18,13,free,model,scripted
20,tit_for_tat,3,15,D,D,1,1,19,14,free,model,scripted
20,tit_for_tat,3,16,D,D,1,1,20,15,free,model,scripted
20,tit_for_tat,3,17,D,D,1,1,21,16,free,model,scripted
20,tit_for_tat,3,18,D,D,1,1,22,17,free,model,scripted
20,tit_for_tat,3,19,D,D,1,1,23,18,free,model,scripted
20,tit_for_tat,3,20,D,D,1,1,24,19,free,model,scripted
21,tit_for_two_tats,3,1,D,C,5,0,5,0,free,model,scripted
21,tit_for_two_tats,3,2,D,C,5,0,10,0,free,model,scripted
21,tit_for_two_tats,3,3,D,D,1,1,11,1,free,model,scripted
21,tit_for_two_tats,3,4,D,D,1,1,12,2,free,model,scripted
21,tit_for_two_tats,3,5,D,D,1,1,13,3,free,model,scripted
21,tit_for_two_tats,3,6,D,D,1,1,14,4,free,model,scripted
21,tit_for_two_tats,3,7,D,D,1,1,15,5,free,model,scripted
21,tit_for_two_tats,3,8,D,D,1,1,16,6,free,model,scripted
21,tit_for_two_tats,3,9,D,D,1,1,17,7,free,model,scripted
21,tit_for_two_tats,3,10,D,D,1,1,18,8,free,model,scripted
21,tit_for_two_tats,3,11,D,D,1,1,19,9,free,model,scripted
21,tit_for_two_tats,3,12,D,D,1,1,20,10,free,model,scripted
21,tit_for_two_tats,3,13,D,D,1,1,21,11,free,model,scripted
21,tit_for_two_tats,3,14,D,D,1,1,22,12,free,model,scripted
21,tit_for_two_tats,3,15,D,D,1,1,23,13,free,model,scripted
21,tit_for_two_tats,3,16,D,D,1,1,24,14,free,model,scripted
21,tit_for_two_tats,3,17,D,D,1,1,25,15,free,model,scripted
21,tit_for_two_tats,3,18,D,D,1,1,26,16,free,model,scripted
21,tit_for_two_tats,3,19,D,D,1,1,27,17,free,model,scripted
21,tit_for_two_tats,3,20,D,D,1,1,28,18,free,model,scripted
22,grim,3,1,C,C,3,3,3,3,free,model,scripted
22,grim,3,2,C,C,3,3,6,6,free,model,scripted
22,grim,3,3,C,C,3,3,9,9,free,model,scripted
22,grim,3,4,C,C,3,3,12,12,free,model,scripted
22,grim,3,5,C,C,3,3,15,15,free,model,scripted
22,grim,3,6,C,C,3,3,18,18,free,model,scripted
22,grim,3,7,C,C,3,3,21,21,free,model,scripted
22,grim,3,8,C,C,3,3,24,24,free,model,scripted
22,grim,3,9,C,C,3,3,27,27,free,model,scripted
22,grim,3,10,C,C,3,3,30,30,free,model,scripted
22,grim,3,11,C,C,3,3,33,33,free,model,scripted
22,grim,3,12,C,C,3,3,36,36,free,model,scripted
22,grim,3,13,C,C,3,3,39,39,free,model,scripted
22,grim,3,14,C,C,3,3,42,42,free,model,scripted
22,grim,3,15,C,C,3,3,45,45,free,model,scripted
22,grim,3,16,C,C,3,3,48,48,free,model,scripted
22,grim,3,17,C,C,3,3,51,51,free,model,scripted
22,grim,3,18,C,C,3,3,54,54,free,model,scripted
22,grim,3,19,C,C,3,3,57,57,free,model,scripted
22,grim,3,20,C,C,3,3,60,60,free,model,scripted
23,pavlov,3,1,D,C,5,0,5,0,free,model,scripted
23,pavlov,3,2,D,D,1,1,6,1,free,model,scripted
23,pavlov,3,3,D,C,5,0,11,1,free,model,scripted
23,pavlov,3,4,D,D,1,1,12,2,free,model,scripted
23,pavlov,3,5,D,C,5,0,17,2,free,model,scripted
23,pavlov,3,6,D,D,1,1,18,3,free,model,scripted
23,pavlov,3,7,D,C,5,0,23,3,free,model,scripted
23,pavlov,3,8,D,D,1,1,24,4,free,model,scripted
